,vtuber,music,original,collab,collabVTuber,id,channelId,publishedAt,memo
75,ときのそら,Dream☆Story,ときのそら,False,,rbd-m8r5Ujs,UCp6993wxpyDPHUpavwDFqgg,2019-01-08 19:00:07,
76,ときのそら,エイリアンエイリアン,ナユタン星人,False,,NT6Pf28eCgQ,UCp6993wxpyDPHUpavwDFqgg,2019-01-02 19:00:02,
77,ときのそら,海より深い空の下,ときのそら,False,,nP5mhWX2i0Q,UCp6993wxpyDPHUpavwDFqgg,2018-12-18 19:00:05,
78,ときのそら,そんな雨の日には,ときのそら,False,,MjkDaUwPzkU,UCp6993wxpyDPHUpavwDFqgg,2018-12-12 19:00:01,
79,ときのそら,wanderingdays,ときのそら,False,,Z9oZ4r0cxME,UCp6993wxpyDPHUpavwDFqgg,2018-11-12 19:00:03,
80,ときのそら,未練レコード,ときのそら,False,,yVxmv4oqPzs,UCp6993wxpyDPHUpavwDFqgg,2018-10-04 21:00:10,
81,ときのそら,"rain stops, good-bye",におP,False,,FrdLDOeMoyg,UCp6993wxpyDPHUpavwDFqgg,2018-09-30 19:00:03,
82,ときのそら,海を泳ぐ月,40mP,False,,RKigW0TteZY,UCp6993wxpyDPHUpavwDFqgg,2018-09-03 19:00:08,
83,ときのそら,サンドリヨン,シグナルP,True,バーチャルゴリラ,zsBD66Sa5Yg,UCp6993wxpyDPHUpavwDFqgg,2018-08-14 19:00:35,
84,ときのそら,メランコリック,Junky,False,,zcU6WIaT9DA,UCp6993wxpyDPHUpavwDFqgg,2018-08-06 19:00:13,
85,ときのそら,magnet,流星P,True,アズマリム,Ec3DZ5xaWuA,UCp6993wxpyDPHUpavwDFqgg,2018-07-31 19:00:05,
86,ときのそら,太陽系デスコ,ナユタン星人,False,,wHw3jSvZxNI,UCp6993wxpyDPHUpavwDFqgg,2018-07-28 19:01:18,
87,ときのそら,そらともどうぶつようちえん,nozakita kazumi,False,,D7qezulISyU,UCp6993wxpyDPHUpavwDFqgg,2018-07-17 19:54:18,
88,ときのそら,おかえり,瀬名航,False,,owwXwGXUm0g,UCp6993wxpyDPHUpavwDFqgg,2018-07-08 19:00:03,
89,ときのそら,Snow halation,μ’ｓ,False,,xDE3MSAK_DY,UCp6993wxpyDPHUpavwDFqgg,2018-06-08 21:05:57,
90,ときのそら,あの日見た空,山田アルテミス,False,,Pgmleabc1nQ,UCp6993wxpyDPHUpavwDFqgg,2018-06-01 20:06:32,
91,ときのそら,わたしとあなたと皆さまと！,逆襲の明智,False,,pKASI4dEG3A,UCp6993wxpyDPHUpavwDFqgg,2018-05-15 20:00:41,
92,ときのそら,夢色アスタリスク,ていくる,False,,kTV6uSmiXEw,UCp6993wxpyDPHUpavwDFqgg,2018-01-29 20:00:05,
93,ときのそら,木の芽時の空 ,路地裏ロジック,False,,BvlCYJ1XZ3Y,UCp6993wxpyDPHUpavwDFqgg,2018-01-19 19:00:47,
94,ロボ子さん,おねがいダーリン,ナナホシ管弦楽団,False,,RJwpJIe5FmY,UCDqI2jOz0weumE8s7paEk6g,2018-12-24 22:12:48,
95,ロボ子さん,一心不乱,梅とら,True,樋口楓,qge-EvTOzsk,UCDqI2jOz0weumE8s7paEk6g,2019-05-05 18:58:18,
96,ロボ子さん,HAPPY BIRTHDAY,back number,False,,_txtx7llu50,UCDqI2jOz0weumE8s7paEk6g,2019-05-23 19:58:46,
97,ロボ子さん,BOYS & GIRLS 3.0,キツネDJ,True,キツネDJ,Wo0LOk4R5Oc,UCRULMVtTfuMRRBAzfaqYwdA,2019-04-28 18:12:46,
98,ロボ子さん,FICTION,キツネDJ,False,,UXuMSLOUhgs,UCDqI2jOz0weumE8s7paEk6g,2019-04-28 17:57:46,
99,ロボ子さん,メルティランドナイトメア,はるまきごはん,False,,Klsca1OcwH8,UCDqI2jOz0weumE8s7paEk6g,2018-11-10 17:58:18,
100,ロボ子さん,あっかんべーだ,瀬名航,False,,e_EqIA6ZWqs,UCDqI2jOz0weumE8s7paEk6g,2018-05-03 18:00:03,
101,ロボ子さん,PLATONIC GIR,みきとP,True,樋口楓,_cUTVL2Nj6o,UCDqI2jOz0weumE8s7paEk6g,2018-10-08 19:00:03,
102,天神子兎音,だから僕は音楽を辞めた,ヨルシカ,False,,dkWh74qgf8U,UCAr7rLi_Wn09G-XfTA07d4g,2019-07-05 21:00:04,
103,天神子兎音,All Alone With You,EGOIST,False,,4oP2XkmXdsE,UCAr7rLi_Wn09G-XfTA07d4g,2019-06-28 21:00:00,
104,天神子兎音,ヒビカセ,ギガP,False,,m5wMhbjCdmc,UCAr7rLi_Wn09G-XfTA07d4g,2019-06-21 21:00:06,
